obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
3456-6466.0-1,3456-6466.0,Opening-Year-Forecast-poi-3456-6466.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7300
3456-6467.0-1,3456-6467.0,Opening-Year-Forecast-poi-3456-6467.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,6700
3456-6468.0-1,3456-6468.0,Opening-Year-Forecast-poi-3456-6468.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,6700
3456-6469.0-1,3456-6469.0,Opening-Year-Forecast-poi-3456-6469.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,5700
3456-6470.0-1,3456-6470.0,Opening-Year-Forecast-poi-3456-6470.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,4300
3456-6471.0-1,3456-6471.0,Opening-Year-Forecast-poi-3456-6471.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,6100
3456-6472.0-1,3456-6472.0,Opening-Year-Forecast-poi-3456-6472.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,6500
3456-6473.0-1,3456-6473.0,Opening-Year-Forecast-poi-3456-6473.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,6300
3456-6474.0-1,3456-6474.0,Opening-Year-Forecast-poi-3456-6474.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,2300
3456-6475.0-1,3456-6475.0,Opening-Year-Forecast-poi-3456-6475.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,8700
3456-6476.0-1,3456-6476.0,Opening-Year-Forecast-poi-3456-6476.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,2400
3456-6477.0-1,3456-6477.0,Opening-Year-Forecast-poi-3456-6477.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7100
3456-6478.0-1,3456-6478.0,Opening-Year-Forecast-poi-3456-6478.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,3000
3456-6479.0-1,3456-6479.0,Opening-Year-Forecast-poi-3456-6479.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,6900
3456-6593.0-1,3456-6593.0,Opening-Year-Forecast-poi-3456-6593.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,12400
3456-6594.0-1,3456-6594.0,Opening-Year-Forecast-poi-3456-6594.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,4500
3456-6595.0-1,3456-6595.0,Opening-Year-Forecast-poi-3456-6595.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,45700
3456-6596.0-1,3456-6596.0,Opening-Year-Forecast-poi-3456-6596.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,9600
3456-6597.0-1,3456-6597.0,Opening-Year-Forecast-poi-3456-6597.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,4800
3456-6598.0-1,3456-6598.0,Opening-Year-Forecast-poi-3456-6598.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,4000
3456-6599.0-1,3456-6599.0,Opening-Year-Forecast-poi-3456-6599.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,4000
3456-6600.0-1,3456-6600.0,Opening-Year-Forecast-poi-3456-6600.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,2100
3456-6601.0-1,3456-6601.0,Opening-Year-Forecast-poi-3456-6601.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,8400
3456-6602.0-1,3456-6602.0,Opening-Year-Forecast-poi-3456-6602.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,4100
3456-6603.0-1,3456-6603.0,Opening-Year-Forecast-poi-3456-6603.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,2200
3456-6604.0-1,3456-6604.0,Opening-Year-Forecast-poi-3456-6604.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,9000
3456-6605.0-1,3456-6605.0,Opening-Year-Forecast-poi-3456-6605.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,1600
3456-6606.0-1,3456-6606.0,Opening-Year-Forecast-poi-3456-6606.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,50400
3456-6607.0-1,3456-6607.0,Opening-Year-Forecast-poi-3456-6607.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,5200
3456-6608.0-1,3456-6608.0,Opening-Year-Forecast-poi-3456-6608.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,2100
